Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Bangladesh,BGD,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,0.542254838573649,South Asia,Lower middle income
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,12.36880016,South Asia,Lower middle income
Bangladesh,BGD,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,82.4275967039157,South Asia,Lower middle income
Barbados,BRB,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,28.0544105523495,Latin America & Caribbean,High income
Barbados,BRB,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,53.5976199863794,Latin America & Caribbean,High income
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,72.04940033,Latin America & Caribbean,High income
Barbados,BRB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,120.001433743145,Latin America & Caribbean,High income
Belarus,BLR,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,30.6040616643757,Europe & Central Asia,Upper middle income
Belarus,BLR,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,47.8606068137666,Europe & Central Asia,Upper middle income
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,62.230360906803,Europe & Central Asia,Upper middle income
Belarus,BLR,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2015,60.1881,Europe & Central Asia,Upper middle income
Belarus,BLR,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2015,65.1054,Europe & Central Asia,Upper middle income
Belarus,BLR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,120.669626204229,Europe & Central Asia,Upper middle income
Belgium,BEL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,36.5492377831789,Europe & Central Asia,High income
Belgium,BEL,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,39.810001210607,Europe & Central Asia,High income
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,85.0529417508701,Europe & Central Asia,High income
Belgium,BEL,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2015,84.2776,Europe & Central Asia,High income
Belgium,BEL,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2015,85.8337,Europe & Central Asia,High income
Belgium,BEL,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,113.29233233425,Europe & Central Asia,High income
Belize,BLZ,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,4.87717949221655,Latin America & Caribbean,Upper middle income
Belize,BLZ,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,6.62386026553813,Latin America & Caribbean,Upper middle income
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,41.59000015,Latin America & Caribbean,Upper middle income
Belize,BLZ,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,59.4797562953754,Latin America & Caribbean,Upper middle income
Benin,BEN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,0.644882115781616,Sub-Saharan Africa,Lower middle income
Benin,BEN,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,1.71350643504558,Sub-Saharan Africa,Lower middle income
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,11.25500011,Sub-Saharan Africa,Lower middle income
Benin,BEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,82.0193349324746,Sub-Saharan Africa,Lower middle income
Bermuda,BMU,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,47.2708937350309,North America,High income
Bermuda,BMU,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,18.9083574940124,North America,High income
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,98.3236096537251,North America,High income
Bermuda,BMU,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,59.8764653977058,North America,High income
Bhutan,BTN,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,3.76361363077862,South Asia,Lower middle income
Bhutan,BTN,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,2.94497298202312,South Asia,Lower middle income
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,39.79999924,South Asia,Lower middle income
Bhutan,BTN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,91.2409636276731,South Asia,Lower middle income
Bolivia,BOL,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,1.64281294868996,Latin America & Caribbean,Lower middle income
Bolivia,BOL,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,8.00053201606398,Latin America & Caribbean,Lower middle income
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,37.4868176324391,Latin America & Caribbean,Lower middle income
Bolivia,BOL,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2015,34.4719,Latin America & Caribbean,Lower middle income
Bolivia,BOL,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2015,40.5855,Latin America & Caribbean,Lower middle income
Bolivia,BOL,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,92.2660116634989,Latin America & Caribbean,Lower middle income
Bosnia and Herzegovina,BIH,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,18.0468836372803,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,BIH,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,22.3318415218126,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,52.59999847,Europe & Central Asia,Upper middle income
Bosnia and Herzegovina,BIH,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2015,97.8678378339204,Europe & Central Asia,Upper middle income
Botswana,BWA,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,2015,1.67228482353299,Sub-Saharan Africa,Upper middle income
Botswana,BWA,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2015,7.28416315182004,Sub-Saharan Africa,Upper middle income
